@relation NormalizedData_MineLIWC_1221

@attribute f1 numeric
@attribute f2 numeric
@attribute f3 numeric
@attribute f4 numeric
@attribute f5 numeric
@attribute f6 numeric
@attribute f7 numeric
@attribute f8 numeric
@attribute f9 numeric
@attribute f10 numeric
@attribute f11 numeric
@attribute f12 numeric
@attribute f13 numeric
@attribute f14 numeric
@attribute f15 numeric
@attribute f16 numeric
@attribute f17 numeric
@attribute f18 numeric
@attribute f19 numeric
@attribute f20 numeric
@attribute f21 numeric
@attribute f22 numeric
@attribute f23 numeric
@attribute f24 numeric
@attribute f25 numeric
@attribute f26 numeric
@attribute f27 numeric
@attribute f28 numeric
@attribute f29 numeric
@attribute f30 numeric
@attribute f31 numeric
@attribute f32 numeric
@attribute f33 numeric
@attribute f34 numeric
@attribute f35 numeric
@attribute f36 numeric
@attribute f37 numeric
@attribute f38 numeric
@attribute f39 numeric
@attribute f40 numeric
@attribute f41 numeric
@attribute f42 numeric
@attribute f43 numeric
@attribute f44 numeric
@attribute f45 numeric
@attribute f46 numeric
@attribute f47 numeric
@attribute f48 numeric
@attribute f49 numeric
@attribute f50 numeric
@attribute f51 numeric
@attribute f52 numeric
@attribute f53 numeric
@attribute f54 numeric
@attribute f55 numeric
@attribute f56 numeric
@attribute f57 numeric
@attribute f58 numeric
@attribute f59 numeric
@attribute f60 numeric
@attribute f61 numeric
@attribute f62 numeric
@attribute f63 numeric
@attribute f64 numeric
@attribute f65 numeric
@attribute f66 numeric
@attribute f67 numeric
@attribute f68 numeric
@attribute f69 numeric
@attribute f70 numeric
@attribute f71 numeric
@attribute f72 numeric
@attribute f73 numeric
@attribute f74 numeric
@attribute f75 numeric
@attribute f76 numeric
@attribute f77 numeric
@attribute f78 numeric
@attribute label {patient,healthy}

@data
0.716054,0.24508,0.181953,0.146058,0.004951,0.012997,0.008664,0.009283,0.063127,0.056938,0.151009,0.118827,0.074886,0.128729,0.021042,0.243223,0.038371,0.034039,0.012997,0.010521,0.028469,0.047036,0.030944,0.014853,0.003094,0.003094,0.006808,0.092214,0.003713,0.006808,0.009283,0.004951,0.191237,0.049511,0.021042,0.02228,0.074886,0.014853,0.042703,0.024137,0.006189,0.007427,0.009902,0.02228,0.007427,0.007427,0,0.008046,0.073029,0.037133,0.015472,0.013616,0.01114,0.003094,0.029707,0.172051,0.037133,0.159054,0.024137,0.060651,0.075504,0.028469,0.026612,0.006189,0.004951,0.001238,0,0.015472,0.000619,0.001857,0.009283,0.003094,0.000619,0,0.36205,1.112143,0.164624,1.198168,patient
0.112718,0.036155,0.028357,0.014887,0.002836,0.00638,0.003545,0.000709,0.007798,0.012052,0.029775,0.015596,0.014887,0.017723,0.003545,0.038282,0.014178,0.00638,0.004254,0.002836,0.003545,0.011343,0.007798,0.002836,0.000709,0.000709,0.001418,0.030483,0.002127,0.003545,0.002127,0.003545,0.020559,0.004254,0.002836,0.002836,0.004962,0.001418,0.004254,0.009925,0.003545,0.004962,0.001418,0.004962,0.001418,0.002127,0,0.002127,0.017014,0.008507,0.002127,0.002836,0.002836,0.000709,0.002127,0.033319,0.004254,0.033319,0.005671,0.015596,0.012052,0.003545,0.00638,0.001418,0.004254,0.000709,0.003545,0.002127,0,0,0.001418,0.000709,0,0,0.156671,0.203459,0.040408,0.244576,patient
0.166547,0.064692,0.052304,0.050239,0.000688,0.000688,0.000688,0,0.012388,0.014452,0.039228,0.028905,0.013764,0.00757,0.008947,0.052992,0.009635,0.00757,0.002065,0.001376,0.004129,0.011011,0.008259,0.002753,0.000688,0.000688,0.000688,0.02684,0.006194,0.002753,0.004129,0.002753,0.037852,0.00757,0.008259,0.009635,0.008947,0.002065,0.004129,0.00757,0.003441,0.002753,0.001376,0.015141,0.006194,0.002065,0.000688,0.006194,0.01927,0.008947,0.001376,0.006194,0.004129,0,0.004817,0.044734,0.00757,0.039916,0.006882,0.015829,0.016517,0.002753,0.014452,0.002065,0.001376,0.000688,0,0.009635,0.001376,0,0.00757,0.000688,0,0,0.1693,0.294555,0.040604,0.330342,patient
0.21437,0.068842,0.055771,0.049671,0.000871,0.005229,0,0,0.013071,0.020914,0.0488,0.033114,0.022657,0.028757,0.0122,0.071457,0.008714,0.0061,0.003486,0.0061,0.008714,0.010457,0.007843,0.001743,0.000871,0,0,0.022657,0.002614,0.003486,0,0.003486,0.046185,0.0061,0.004357,0.009586,0.021786,0.004357,0.0183,0.009586,0.003486,0.001743,0.002614,0.013071,0.005229,0.002614,0.000871,0.004357,0.019171,0.005229,0.0061,0.002614,0.005229,0,0.003486,0.060128,0.009586,0.052285,0.015686,0.0183,0.016557,0.011329,0.006971,0.002614,0.000871,0.000871,0,0.005229,0,0.000871,0.003486,0.001743,0,0,0.206527,0.352055,0.052285,0.402598,healthy
0.229562,0.091825,0.072877,0.060488,0.000729,0.00583,0.005101,0.000729,0.018948,0.010932,0.043726,0.033523,0.022592,0.034252,0.014575,0.071419,0.01166,0.008016,0.002186,0.00583,0.007288,0.015304,0.01166,0.003644,0.000729,0.002186,0.000729,0.032795,0.008745,0.000729,0.007288,0.005101,0.05903,0.007288,0.007288,0.008745,0.020405,0.008016,0.019677,0.009474,0.005101,0.003644,0.000729,0.010203,0.001458,0.001458,0,0.006559,0.021863,0.003644,0.003644,0.009474,0.006559,0.000729,0.013847,0.045912,0.010203,0.059759,0.010203,0.024049,0.026236,0.006559,0.007288,0.003644,0.002186,0,0.000729,0.014575,0,0.000729,0.01166,0.002186,0,0,0.183649,0.363655,0.04737,0.39062,healthy
0.742872,0.223122,0.137256,0.086517,0.009758,0.028622,0.003253,0.009107,0.085216,0.0644,0.188645,0.132702,0.097575,0.135304,0.018214,0.253695,0.053992,0.060497,0.019515,0.009107,0.033826,0.053341,0.043584,0.009758,0.001301,0.003253,0.002602,0.100828,0.003903,0.003253,0.003253,0.001301,0.160023,0.026671,0.029273,0.01301,0.056594,0.005855,0.040982,0.023418,0.006505,0.003903,0.011709,0.019515,0.007806,0.003903,0.000651,0.007156,0.083915,0.029273,0.016913,0.016263,0.020816,0.003903,0.035127,0.178237,0.02537,0.172383,0.030574,0.073507,0.070254,0.047487,0.018214,0.002602,0.007156,0.001952,0,0.027321,0.002602,0.007156,0.013661,0.003253,0,0,0.379242,1.147484,0.173684,1.230748,healthy
0.451885,0.160148,0.111991,0.084553,0.00504,0.010639,0.006719,0.00504,0.048156,0.035837,0.094633,0.075034,0.044237,0.056556,0.017919,0.138869,0.034717,0.020718,0.007279,0.009519,0.011199,0.029118,0.017359,0.011759,0.0028,0.00336,0.0028,0.057116,0.00336,0.00616,0.00504,0.00448,0.094633,0.012879,0.016799,0.013439,0.023518,0.008399,0.034157,0.013999,0.00504,0.006719,0.00168,0.011199,0.00224,0.00392,0,0.00448,0.044237,0.013999,0.007279,0.013999,0.00616,0.0056,0.024078,0.092953,0.024638,0.13103,0.016239,0.054876,0.063275,0.020158,0.010639,0.008399,0.013999,0,0,0.014559,0.00056,0.00224,0.010639,0.00056,0,0,0.26206,0.699946,0.086793,0.748662,healthy
0.449032,0.153158,0.118349,0.077449,0.010443,0.011313,0.013923,0.005221,0.034809,0.0409,0.098334,0.082671,0.049602,0.058305,0.007832,0.156639,0.026977,0.013923,0.015664,0.006092,0.012183,0.022626,0.020015,0.002611,0,0.00087,0.00174,0.07919,0.008702,0.00174,0.004351,0.021755,0.086151,0.012183,0.018275,0.017404,0.021755,0.009572,0.015664,0.017404,0.011313,0.004351,0.00174,0.017404,0.006092,0.00174,0.002611,0.007832,0.052213,0.020885,0.008702,0.015664,0.008702,0,0.012183,0.129662,0.029587,0.125311,0.018275,0.048732,0.061785,0.012183,0.013053,0.009572,0.004351,0,0.00087,0.004351,0,0.00174,0,0.00087,0.00174,0,0.287172,0.694433,0.082671,0.740554,healthy
0.205543,0.068829,0.048086,0.038657,0,0.005657,0.001886,0.001886,0.020743,0.016971,0.051857,0.0462,0.016971,0.0198,0.0066,0.0726,0.012257,0.008486,0.004714,0.000943,0.010371,0.014143,0.014143,0,0,0,0,0.027343,0.003771,0.000943,0.002829,0.003771,0.035829,0.000943,0.003771,0.010371,0.007543,0.010371,0.008486,0.012257,0.008486,0.001886,0.000943,0.010371,0.002829,0.003771,0,0.004714,0.016971,0.002829,0.003771,0.0066,0.005657,0,0.014143,0.047143,0.0132,0.062229,0.007543,0.0198,0.035829,0.012257,0.0066,0,0.000943,0.000943,0,0.001886,0,0.000943,0.000943,0,0,0,0.185743,0.328114,0.033,0.352628,healthy
0.328831,0.109024,0.074734,0.060667,0.001758,0.009671,0.001758,0.000879,0.03429,0.026377,0.072976,0.054512,0.037807,0.050116,0.010551,0.10287,0.019343,0.010551,0.006155,0.007913,0.012309,0.014947,0.008792,0.006155,0.000879,0.001758,0.001758,0.036928,0.005275,0.003517,0,0.004396,0.071217,0.013188,0.010551,0.007913,0.029014,0.007034,0.01143,0.01143,0.004396,0.007034,0,0.017585,0.004396,0.003517,0.000879,0.009671,0.03429,0.012309,0.005275,0.010551,0.007913,0,0.007034,0.073855,0.029014,0.099353,0.020222,0.035169,0.044841,0.015826,0.01143,0.006155,0.003517,0,0.001758,0.009671,0,0.000879,0.007913,0.000879,0,0,0.247942,0.521381,0.073855,0.561826,healthy
